Folder,PSNR,SSIM,LPIPS
Emu3VisionTokenizer,30.140162922048354,0.9461070657883324,0.01943726520985365
selftok_1024,28.190858731034826,0.9567690304710015,0.022980114817619322
unitok,26.826920677893487,0.9476903213193522,0.026264508627355097
OpenMAGViT2_256_256-256,28.013321931282047,0.9509759749697096,0.027701807860285043
selftok_512,25.5963609891373,0.936307969394065,0.03732140399515629
tokenflow_384,24.225944680797383,0.9162211862686179,0.039015112817287444
selftok_1024_ratio_0.8068451831332718,27.300309766483327,0.9504803565453465,0.04108714163303375
unitok_ratio_0.8068451831332718,26.016676907851284,0.9420386518393915,0.04546533450484276
OpenMAGViT2_256_285-256,27.148789337247695,0.9447742726803533,0.04586230721324682
datailflow,23.69243974400922,0.9074149217388786,0.0476120050996542
fqgan_triple_ds16_256-256,24.052236357203075,0.9175447837712609,0.04898420535027981
tokenflow_384_ratio_0.8686963898576681,23.913291611650575,0.9111265579217058,0.05384293086826801
tokenflow_224,22.769951940699862,0.8962713322610977,0.05393663588911295
selftok_1024_ratio_0.6400000000000001,26.183792283297862,0.9410912947613301,0.05447707735002041
selftok_512_ratio_0.8068451831332718,24.867400615679454,0.9280778502928001,0.056301142647862436
Emu3VisionTokenizer_ratio_0.810,19.52058083166964,0.8125463161057975,0.05789635125547647
OpenMAGViT2_256_320-256,26.49483275948043,0.9384749795352516,0.058831576630473136
unitok_ratio_0.6400000000000001,25.153178667704193,0.9320195070418119,0.05960579998791218
selftok_512_ratio_0.6400000000000001,23.970969349243386,0.9161193718643477,0.07059962190687656
selftok_1024_ratio_0.505679012345679,25.30051459631862,0.9307557891976972,0.07062401473522187
tokenflow_224_ratio_0.8158168574401664,22.182409389924732,0.8886908190963897,0.07132559530436992
OpenMAGViT2_256_360-256,25.35306859639705,0.928326253644531,0.07592709101736546
tokenflow_224_ratio_0.765625,21.92330430770386,0.8841349207965961,0.07684030309319496
unitok_ratio_0.505679012345679,24.32651219832415,0.920805795591178,0.07751557976007462
vila-u-7b-256,21.216507349632487,0.8721201782793292,0.08134907335042954
selftok_512_ratio_0.505679012345679,23.18103473754902,0.90413900466297,0.08817942515015602
unitok_ratio_0.3860872843811857,23.227964449270893,0.903283367476706,0.09819888845086097
vila-u-7b-256_ratio_0.8068451831332718,20.730120189661452,0.8638623179533349,0.10597566589713096
fqgan_triple_ds16_384-256,21.515886960722632,0.8699833976436604,0.11918071657419205
OpenMAGViT2_256_512-256,22.663023118814685,0.8855620047273511,0.13781234994530678
datailflow_256,7.38651772389876,0.40252777307169074,0.4651351638138294
